produto,produto_nome,ocorrencias,rotulo
"230360 | MANGUITO, MATERIAL:BORRACHA, APRESENTAÇÃO:BOLSA INFLÁVEL, TAMANHO:ADULTO NORMAL, APLICAÇÃO:APARELHO PRESSÃO","230360 | MANGUITO, MATERIAL:BORRACHA, APRESENTAÇÃO:BOLSA INFLÁVEL, TAMANHO:ADULTO NORMAL, APLICAÇÃO:APARELHO PRESSÃO",8,"230360 | MANGUITO, MATERIAL:BORRACHA, APRESENTAÇÃO:BOLS [P0011]"
"230361 | MANGUITO, MATERIAL:BORRACHA, APRESENTAÇÃO:BOLSA INFLÁVEL, TAMANHO:ADULTO OBESO, APLICAÇÃO:APARELHO PRESSÃO","230361 | MANGUITO, MATERIAL:BORRACHA, APRESENTAÇÃO:BOLSA INFLÁVEL, TAMANHO:ADULTO OBESO, APLICAÇÃO:APARELHO PRESSÃO",1,"230361 | MANGUITO, MATERIAL:BORRACHA, APRESENTAÇÃO:BOLS [P0012]"
"231256 | LENÇOL DESCARTÁVEL USO HOSPITALAR, MATERIAL:TNT, GRAMATURA:40 G/M2, ALTURA:2,20 M, LARGURA:1,40 M","231256 | LENÇOL DESCARTÁVEL USO HOSPITALAR, MATERIAL:TNT, GRAMATURA:40 G/M2, ALTURA:2,20 M, LARGURA:1,40 M",2,"231256 | LENÇOL DESCARTÁVEL USO HOSPITALAR, MATERIAL:TN [P0013]"
"233632 | PETROLATO, ASPECTO FÍSICO:LÍQUIDO, TIPO:LAXATIVO, USO:ORAL","233632 | PETROLATO, ASPECTO FÍSICO:LÍQUIDO, TIPO:LAXATIVO, USO:ORAL",308,"233632 | PETROLATO, ASPECTO FÍSICO:LÍQUIDO, TIPO:LAXATI [P0014]"
"238918 | CONJUNTO NEBULIZAÇÃO, COMPONENTES:MÁSCARA E TUBO EXTENSOR, TAMANHO:ADULTO, COMPRIMENTO TUBO:150 CM, TIPO:MÁSCARA COM AJUSTE ANATÔMICO E ATÓXICA, COR:TRANSPARENTE","238918 | CONJUNTO NEBULIZAÇÃO, COMPONENTES:MÁSCARA E TUBO EXTENSOR, TAMANHO:ADULTO, COMPRIMENTO TUBO:150 CM, TIPO:MÁSCARA COM AJUSTE ANATÔMICO E ATÓXICA, COR:TRANSPARENTE",64,"238918 | CONJUNTO NEBULIZAÇÃO, COMPONENTES:MÁSCARA E TU [P0015]"
"238919 | CONJUNTO NEBULIZAÇÃO, COMPONENTES:MÁSCARA E TUBO EXTENSOR, TAMANHO:INFANTIL, COMPRIMENTO TUBO:150 CM, TIPO:MÁSCARA COM AJUSTE ANATÔMICO E ATÓXICA, COR:TRANSPARENTE","238919 | CONJUNTO NEBULIZAÇÃO, COMPONENTES:MÁSCARA E TUBO EXTENSOR, TAMANHO:INFANTIL, COMPRIMENTO TUBO:150 CM, TIPO:MÁSCARA COM AJUSTE ANATÔMICO E ATÓXICA, COR:TRANSPARENTE",63,"238919 | CONJUNTO NEBULIZAÇÃO, COMPONENTES:MÁSCARA E TU [P0016]"
"238962 | OTOSCÓPIO, TIPO:CLÍNICO, MODELO:PORTÁTIL, ALIMENTAÇÃO:PILHA, CARACTERÍSTICAS ADICIONAIS:COM LÂMPADA DE FIBRA ÓTICA E LENTE DE AUMENTO","238962 | OTOSCÓPIO, TIPO:CLÍNICO, MODELO:PORTÁTIL, ALIMENTAÇÃO:PILHA, CARACTERÍSTICAS ADICIONAIS:COM LÂMPADA DE FIBRA ÓTICA E LENTE DE AUMENTO",4,"238962 | OTOSCÓPIO, TIPO:CLÍNICO, MODELO:PORTÁTIL, ALIM [P0017]"
"239056 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 12, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL","239056 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 12, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL",25,"239056 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMAN [P0018]"
"239057 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 20, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL","239057 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 20, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL",10,"239057 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMAN [P0019]"
"239058 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 23, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL","239058 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 23, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL",24,"239058 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMAN [P0020]"
"239063 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 10, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL","239063 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 10, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL",11,"239063 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMAN [P0021]"
"239064 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 11, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL","239064 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 11, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL",43,"239064 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMAN [P0022]"
"239065 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 15, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL","239065 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 15, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL",58,"239065 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMAN [P0023]"
"239289 | SALTO ORTOPÉDICO, MATERIAL:BORRACHA, TAMANHO:GRANDE","239289 | SALTO ORTOPÉDICO, MATERIAL:BORRACHA, TAMANHO:GRANDE",2,"239289 | SALTO ORTOPÉDICO, MATERIAL:BORRACHA, TAMANHO:G [P0024]"
"239290 | SALTO ORTOPÉDICO, MATERIAL:BORRACHA, TAMANHO:MÉDIO","239290 | SALTO ORTOPÉDICO, MATERIAL:BORRACHA, TAMANHO:MÉDIO",1,"239290 | SALTO ORTOPÉDICO, MATERIAL:BORRACHA, TAMANHO:M [P0025]"
"240191 | HEMOSTÁTICO ABSORVÍVEL, MATERIAL:GELATINA PURIFICADA, COMPRIMENTO:8 CM, LARGURA:12,5 CM, ESTERILIDADE:ESTÉRIL, ESPESSURA:1 CM, TIPO:DOBRÁVEL, CARACTERÍSTICAS ADICIONAIS:ABSORVÍVEL, POROSA","240191 | HEMOSTÁTICO ABSORVÍVEL, MATERIAL:GELATINA PURIFICADA, COMPRIMENTO:8 CM, LARGURA:12,5 CM, ESTERILIDADE:ESTÉRIL, ESPESSURA:1 CM, TIPO:DOBRÁVEL, CARACTERÍSTICAS ADICIONAIS:ABSORVÍVEL, POROSA",1,"240191 | HEMOSTÁTICO ABSORVÍVEL, MATERIAL:GELATINA PURI [P0026]"
"240342 | SOLUÇÃO PARA HEMODIÁLISE, COMPONENTES:SOLUÇÃO ÁCIDA DE POLIELETROLÍTICO, APLICAÇÃO:HEMODIÁLISE","240342 | SOLUÇÃO PARA HEMODIÁLISE, COMPONENTES:SOLUÇÃO ÁCIDA DE POLIELETROLÍTICO, APLICAÇÃO:HEMODIÁLISE",3,"240342 | SOLUÇÃO PARA HEMODIÁLISE, COMPONENTES:SOLUÇÃO  [P0027]"
"240388 | ANEL PARA CIRCUNCISÃO, MATERIAL:ACRÍLICO TRANSPARENTE, USO:MÉDICO-HOSPITALAR, DIÂMETRO:1,70 CM, APLICAÇÃO:CIRURGIA FIMOSE, CARACTERÍSTICAS ADICIONAIS:ATÓXICO/ESTÉRIL E DESCARTÁVEL","240388 | ANEL PARA CIRCUNCISÃO, MATERIAL:ACRÍLICO TRANSPARENTE, USO:MÉDICO-HOSPITALAR, DIÂMETRO:1,70 CM, APLICAÇÃO:CIRURGIA FIMOSE, CARACTERÍSTICAS ADICIONAIS:ATÓXICO/ESTÉRIL E DESCARTÁVEL",2,"240388 | ANEL PARA CIRCUNCISÃO, MATERIAL:ACRÍLICO TRANS [P0028]"
"240954 | ESPÁTULA ODONTOLÓGICA, MATERIAL:AÇO INOXIDÁVEL, MODELO:COMUM, TAMANHO:Nº 36, TIPO USO:MANIPULAÇÃO","240954 | ESPÁTULA ODONTOLÓGICA, MATERIAL:AÇO INOXIDÁVEL, MODELO:COMUM, TAMANHO:Nº 36, TIPO USO:MANIPULAÇÃO",29,"240954 | ESPÁTULA ODONTOLÓGICA, MATERIAL:AÇO INOXIDÁVEL [P0029]"
"241223 | CAMPO OPERATÓRIO, COMPRIMENTO:120 CM, LARGURA:120 CM, TEXTURA:DUPLO, MATERIAL:ALGODÃO CRU, CARACTERÍSTICAS ADICIONAIS:DENSIDADE MÍNIMA DE 40 FIOS/CM / TRAMA DE 30 FIOS/, GRAMATURA:140 G/M2, ESPESSURA:0,30 MM","241223 | CAMPO OPERATÓRIO, COMPRIMENTO:120 CM, LARGURA:120 CM, TEXTURA:DUPLO, MATERIAL:ALGODÃO CRU, CARACTERÍSTICAS ADICIONAIS:DENSIDADE MÍNIMA DE 40 FIOS/CM / TRAMA DE 30 FIOS/, GRAMATURA:140 G/M2, ESPESSURA:0,30 MM",1,"241223 | CAMPO OPERATÓRIO, COMPRIMENTO:120 CM, LARGURA: [P0030]"
"242613 | POTE ODONTOLÓGICO, MATERIAL:VIDRO, FORMATO:REDONDO, TRANSMITÂNCIA:TRANSPARENTE, APLICAÇÃO:MANIPULAÇÃO DE RESINA, CARACTERÍSTICAS ADICIONAIS:COM TAMPA","242613 | POTE ODONTOLÓGICO, MATERIAL:VIDRO, FORMATO:REDONDO, TRANSMITÂNCIA:TRANSPARENTE, APLICAÇÃO:MANIPULAÇÃO DE RESINA, CARACTERÍSTICAS ADICIONAIS:COM TAMPA",5,"242613 | POTE ODONTOLÓGICO, MATERIAL:VIDRO, FORMATO:RED [P0031]"
"242652 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:VIDRO E AÇO INOXIDÁVEL, TIPO COMBUSTÍVEL:ÁLCOOL, CARACTERÍSTICAS ADICIONAIS:COM TAMPA E PAVIO DE ALGODÃO, TAMANHO:GRANDE","242652 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:VIDRO E AÇO INOXIDÁVEL, TIPO COMBUSTÍVEL:ÁLCOOL, CARACTERÍSTICAS ADICIONAIS:COM TAMPA E PAVIO DE ALGODÃO, TAMANHO:GRANDE",1,"242652 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:VIDRO E A [P0032]"
"242918 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 22, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:EMBALADA INDIVIDUALMENTE","242918 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 22, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:EMBALADA INDIVIDUALMENTE",34,"242918 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMAN [P0033]"
"243242 | CABO BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 4, APLICAÇÃO:CIRURGIA","243242 | CABO BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 4, APLICAÇÃO:CIRURGIA",35,"243242 | CABO BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO [P0034]"
"243286 | PORTA-AGULHA, MATERIAL:AÇO INOXIDÁVEL, TIPO:MAYO HEGAR, COMPRIMENTO:14 CM","243286 | PORTA-AGULHA, MATERIAL:AÇO INOXIDÁVEL, TIPO:MAYO HEGAR, COMPRIMENTO:14 CM",3,"243286 | PORTA-AGULHA, MATERIAL:AÇO INOXIDÁVEL, TIPO:MA [P0035]"
"243287 | PORTA-AGULHA, MATERIAL:AÇO INOXIDÁVEL, TIPO:MAYO HEGAR, COMPRIMENTO:15 CM","243287 | PORTA-AGULHA, MATERIAL:AÇO INOXIDÁVEL, TIPO:MAYO HEGAR, COMPRIMENTO:15 CM",13,"243287 | PORTA-AGULHA, MATERIAL:AÇO INOXIDÁVEL, TIPO:MA [P0036]"
"243488 | BOLSA VENTILAÇÃO PULMONAR, MATERIAL:BORRACHA, CAPACIDADE:1 L, APLICAÇÃO:VENTILAÇÃO / REINALAÇÃO","243488 | BOLSA VENTILAÇÃO PULMONAR, MATERIAL:BORRACHA, CAPACIDADE:1 L, APLICAÇÃO:VENTILAÇÃO / REINALAÇÃO",2,"243488 | BOLSA VENTILAÇÃO PULMONAR, MATERIAL:BORRACHA,  [P0037]"
"243489 | BOLSA VENTILAÇÃO PULMONAR, MATERIAL:BORRACHA, CAPACIDADE:2 L, APLICAÇÃO:VENTILAÇÃO / REINALAÇÃO","243489 | BOLSA VENTILAÇÃO PULMONAR, MATERIAL:BORRACHA, CAPACIDADE:2 L, APLICAÇÃO:VENTILAÇÃO / REINALAÇÃO",1,"243489 | BOLSA VENTILAÇÃO PULMONAR, MATERIAL:BORRACHA,  [P0038]"
"244033 | TUBO ENDOTRAQUEAL , MATERIAL:PVC FLEXÍVEL,MACIO E REFORÇADO, TAMANHO:Nº 7, CARACTERÍSTICAS ADICIONAIS:PONTA ARREDONDADA, OLHO DE MURPHY, CURVA DE MAGILL, COMPONENTES:BALÃO DE ALTO VOLUME E BAIXA PRESSÃO, TIPO USO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL","244033 | TUBO ENDOTRAQUEAL , MATERIAL:PVC FLEXÍVEL,MACIO E REFORÇADO, TAMANHO:Nº 7, CARACTERÍSTICAS ADICIONAIS:PONTA ARREDONDADA, OLHO DE MURPHY, CURVA DE MAGILL, COMPONENTES:BALÃO DE ALTO VOLUME E BAIXA PRESSÃO, TIPO USO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL",6,"244033 | TUBO ENDOTRAQUEAL , MATERIAL:PVC FLEXÍVEL,MACI [P0039]"
"244717 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, MATERIAL LÂMINA:AÇO INOXIDÁVEL, TAMANHO LÂMINA:22 MM, TIPO:MANUAL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:LÂMINA AFIADA, POLIDA E COM PROTETOR","244717 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, MATERIAL LÂMINA:AÇO INOXIDÁVEL, TAMANHO LÂMINA:22 MM, TIPO:MANUAL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:LÂMINA AFIADA, POLIDA E COM PROTETOR",4,"244717 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, M [P0040]"
"244718 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, MATERIAL LÂMINA:AÇO INOXIDÁVEL, TAMANHO LÂMINA:10 MM, TIPO:MANUAL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:LÂMINA AFIADA, POLIDA E COM PROTETOR","244718 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, MATERIAL LÂMINA:AÇO INOXIDÁVEL, TAMANHO LÂMINA:10 MM, TIPO:MANUAL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:LÂMINA AFIADA, POLIDA E COM PROTETOR",4,"244718 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, M [P0041]"
"244719 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, MATERIAL LÂMINA:AÇO INOXIDÁVEL, TAMANHO LÂMINA:15 MM, TIPO:MANUAL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:LÂMINA AFIADA, POLIDA E COM PROTETOR","244719 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, MATERIAL LÂMINA:AÇO INOXIDÁVEL, TAMANHO LÂMINA:15 MM, TIPO:MANUAL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:LÂMINA AFIADA, POLIDA E COM PROTETOR",18,"244719 | BISTURI DESCARTÁVEL, MATERIAL CABO:PLÁSTICO, M [P0042]"
"244907 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 11, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:AFIADA, POLIDA, EMBALAGEM INDIVIDUAL EM FITA DE","244907 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 11, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:AFIADA, POLIDA, EMBALAGEM INDIVIDUAL EM FITA DE",2,"244907 | LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMAN [P0043]"
"244931 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS, TAMANHO:18 X 24 CM, APLICAÇÃO:EQUIPAMENTO DE RAIO X, CARACTERÍSTICAS ADICIONAIS:COM ECRANS E JANELA IDENTIFICAÇÃO, BASE VERDE,","244931 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS, TAMANHO:18 X 24 CM, APLICAÇÃO:EQUIPAMENTO DE RAIO X, CARACTERÍSTICAS ADICIONAIS:COM ECRANS E JANELA IDENTIFICAÇÃO, BASE VERDE,",1,"244931 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS [P0044]"
"244936 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS, TAMANHO:24 X 30 CM, APLICAÇÃO:EQUIPAMENTO DE RAIO X, CARACTERÍSTICAS ADICIONAIS:COM ECRANS E JANELA IDENTIFICAÇÃO, BASE VERDE,","244936 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS, TAMANHO:24 X 30 CM, APLICAÇÃO:EQUIPAMENTO DE RAIO X, CARACTERÍSTICAS ADICIONAIS:COM ECRANS E JANELA IDENTIFICAÇÃO, BASE VERDE,",2,"244936 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS [P0045]"
"245004 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS, TAMANHO:30 X 40 CM, APLICAÇÃO:EQUIPAMENTO DE RAIO X, CARACTERÍSTICAS ADICIONAIS:COM ECRANS E JANELA IDENTIFICAÇÃO, BASE VERDE,","245004 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS, TAMANHO:30 X 40 CM, APLICAÇÃO:EQUIPAMENTO DE RAIO X, CARACTERÍSTICAS ADICIONAIS:COM ECRANS E JANELA IDENTIFICAÇÃO, BASE VERDE,",1,"245004 | CHASSI PARA RADIOGRAFIA, MATERIAL:PLÁSTICO ABS [P0046]"
